B [mm],L [mm],R1 [mm],Freq [GHz],"dB(S(1,1)) []"
16.0,15.9,6.2,4.838,-0.743809272310602
16.0,15.9,6.2,4.85275,-0.744643804992155
16.0,15.9,6.2,4.8675,-0.746091241228884
16.0,15.9,6.2,4.88225,-0.74816855203848
16.0,15.9,6.2,4.897,-0.750895517122363
16.0,15.9,6.2,4.91175,-0.754294939990802
16.0,15.9,6.2,4.9265,-0.758392891750884
16.0,15.9,6.2,4.94125,-0.763218987240259
16.0,15.9,6.2,4.956,-0.768806697728481
16.0,15.9,6.2,4.97075,-0.775193705037587
16.0,15.9,6.2,4.9855,-0.782422302669937
16.0,15.9,6.2,5.00025,-0.790539850392499
16.0,15.9,6.2,5.015,-0.799599289735828
16.0,15.9,6.2,5.02975,-0.809659729048802
16.0,15.9,6.2,5.0445,-0.820787108139929
16.0,15.9,6.2,5.05925,-0.833054954170181
16.0,15.9,6.2,5.074,-0.846545242388099
16.0,15.9,6.2,5.08875,-0.861349377570383
16.0,15.9,6.2,5.1035,-0.877569314717798
16.0,15.9,6.2,5.11825,-0.895318840737819
16.0,15.9,6.2,5.133,-0.914725042619508
16.0,15.9,6.2,5.14775,-0.935929992091006
16.0,15.9,6.2,5.1625,-0.95909268208849
16.0,15.9,6.2,5.17725,-0.984391256730111
16.0,15.9,6.2,5.192,-1.01202558408989
16.0,15.9,6.2,5.20675,-1.04222023015833
16.0,15.9,6.2,5.2215,-1.07522790326865
16.0,15.9,6.2,5.23625,-1.11133345133503
16.0,15.9,6.2,5.251,-1.15085850995047
16.0,15.9,6.2,5.26575,-1.19416691828325
16.0,15.9,6.2,5.2805,-1.2416710424739
16.0,15.9,6.2,5.29525,-1.29383917370135
16.0,15.9,6.2,5.31,-1.35120420128179
16.0,15.9,6.2,5.32475,-1.41437380134895
16.0,15.9,6.2,5.3395,-1.4840424304147
16.0,15.9,6.2,5.35425,-1.56100547240104
16.0,15.9,6.2,5.369,-1.64617596009823
16.0,15.9,6.2,5.38375,-1.74060438073197
16.0,15.9,6.2,5.3985,-1.8455021848175
16.0,15.9,6.2,5.41325,-1.96226975380389
16.0,15.9,6.2,5.428,-2.09252975379942
16.0,15.9,6.2,5.44275,-2.23816702264104
16.0,15.9,6.2,5.4575,-2.40137642509479
16.0,15.9,6.2,5.47225,-2.58472049639528
16.0,15.9,6.2,5.487,-2.79119922632763
16.0,15.9,6.2,5.50175,-3.02433509413608
16.0,15.9,6.2,5.5165,-3.28827758035101
16.0,15.9,6.2,5.53125,-3.58793307525411
16.0,15.9,6.2,5.546,-3.92912874594883
16.0,15.9,6.2,5.56075,-4.31882314371546
16.0,15.9,6.2,5.5755,-4.76538320433169
16.0,15.9,6.2,5.59025,-5.27895866390077
16.0,15.9,6.2,5.605,-5.87200398426857
16.0,15.9,6.2,5.61975,-6.56003022657358
16.0,15.9,6.2,5.6345,-7.3627244974101
16.0,15.9,6.2,5.64925,-8.30566798639182
16.0,15.9,6.2,5.664,-9.4230334129008
16.0,15.9,6.2,5.67875,-10.7618305685215
16.0,15.9,6.2,5.6935,-12.3881733813077
16.0,15.9,6.2,5.70825,-14.3933362125368
16.0,15.9,6.2,5.723,-16.8762840836556
16.0,15.9,6.2,5.73775,-19.738404269313
16.0,15.9,6.2,5.7525,-21.6625952082156
16.0,15.9,6.2,5.76725,-20.432383458735
16.0,15.9,6.2,5.782,-17.6929794329483
16.0,15.9,6.2,5.79675,-15.202650885728
16.0,15.9,6.2,5.8115,-13.1960669673771
16.0,15.9,6.2,5.82625,-11.5841388741975
16.0,15.9,6.2,5.841,-10.2692796981687
16.0,15.9,6.2,5.85575,-9.17953297935136
16.0,15.9,6.2,5.8705,-8.2640161995049
16.0,15.9,6.2,5.88525,-7.4862285926734
16.0,15.9,6.2,5.9,-6.81931288641614
16.0,15.9,6.2,5.91475,-6.24299993790689
16.0,15.9,6.2,5.9295,-5.74164594133833
16.0,15.9,6.2,5.94425,-5.30294568056344
16.0,15.9,6.2,5.959,-4.91706574143817
16.0,15.9,6.2,5.97375,-4.57604394338911
16.0,15.9,6.2,5.9885,-4.27336193186058
16.0,15.9,6.2,6.00325,-4.00363349697101
16.0,15.9,6.2,6.018,-3.7623723217061
16.0,15.9,6.2,6.03275,-3.54581564095818
16.0,15.9,6.2,6.0475,-3.35078818782242
16.0,15.9,6.2,6.06225,-3.17459579686583
16.0,15.9,6.2,6.077,-3.0149412690462
16.0,15.9,6.2,6.09175,-2.86985725062816
16.0,15.9,6.2,6.1065,-2.73765233965714
16.0,15.9,6.2,6.12125,-2.61686765171462
16.0,15.9,6.2,6.136,-2.5062418012356
16.0,15.9,6.2,6.15075,-2.40468277694181
16.0,15.9,6.2,6.1655,-2.31124556319695
16.0,15.9,6.2,6.18025,-2.22511460961601
16.0,15.9,6.2,6.195,-2.14559038502807
16.0,15.9,6.2,6.20975,-2.0720792607595
16.0,15.9,6.2,6.2245,-2.00408584039575
16.0,15.9,6.2,6.23925,-1.94120659318871
16.0,15.9,6.2,6.254,-1.88312330893646
16.0,15.9,6.2,6.26875,-1.82959461201335
16.0,15.9,6.2,6.2835,-1.78044379157838
16.0,15.9,6.2,6.29825,-1.73554181261766
16.0,15.9,6.2,6.313,-1.69478574139765
16.0,15.9,6.2,6.32775,-1.65807476528157
16.0,15.9,6.2,6.3425,-1.62528782417541
16.0,15.9,6.2,6.35725,-1.596267603434
16.0,15.9,6.2,6.372,-1.57081455154748
16.0,15.9,6.2,6.38675,-1.54869187269916
16.0,15.9,6.2,6.4015,-1.52963927358912
16.0,15.9,6.2,6.41625,-1.51339107337578
16.0,15.9,6.2,6.431,-1.49969393448041
16.0,15.9,6.2,6.44575,-1.48832072049429
16.0,15.9,6.2,6.4605,-1.47907893196424
16.0,15.9,6.2,6.47525,-1.47181389801965
16.0,15.9,6.2,6.49,-1.46640793034659
16.0,15.9,6.2,6.50475,-1.46277695810553
16.0,15.9,6.2,6.5195,-1.46086599455813
16.0,15.9,6.2,6.53425,-1.4606444112166
16.0,15.9,6.2,6.549,-1.46210160658735
16.0,15.9,6.2,6.56375,-1.46524334825734
16.0,15.9,6.2,6.5785,-1.47008886168849
16.0,15.9,6.2,6.59325,-1.47666862246674
16.0,15.9,6.2,6.608,-1.48502275517199
16.0,15.9,6.2,6.62275,-1.49519992729433
16.0,15.9,6.2,6.6375,-1.50725663266161
16.0,15.9,6.2,6.65225,-1.52125677397123
16.0,15.9,6.2,6.667,-1.53727147149857
16.0,15.9,6.2,6.68175,-1.55537904147699
16.0,15.9,6.2,6.6965,-1.57566510159362
16.0,15.9,6.2,6.71125,-1.59822277219699
16.0,15.9,6.2,6.726,-1.62315295035946
16.0,15.9,6.2,6.74075,-1.65056464027557
16.0,15.9,6.2,6.7555,-1.68057532803641
16.0,15.9,6.2,6.77025,-1.71331139198822
16.0,15.9,6.2,6.785,-1.74890854198141
16.0,15.9,6.2,6.79975,-1.78751228209082
16.0,15.9,6.2,6.8145,-1.82927839202517
16.0,15.9,6.2,6.82925,-1.8743734225716
16.0,15.9,6.2,6.844,-1.92297520012774
16.0,15.9,6.2,6.85875,-1.97527333471081
16.0,15.9,6.2,6.8735,-2.03146972482532
16.0,15.9,6.2,6.88825,-2.09177905121879
16.0,15.9,6.2,6.903,-2.15642924984128
16.0,15.9,6.2,6.91775,-2.2256619522102
16.0,15.9,6.2,6.9325,-2.29973287881222
16.0,15.9,6.2,6.94725,-2.37891216806975
16.0,15.9,6.2,6.962,-2.46348461966074
16.0,15.9,6.2,6.97675,-2.55374982647366
16.0,15.9,6.2,6.9915,-2.65002216403806
16.0,15.9,6.2,7.00625,-2.75263059967826
16.0,15.9,6.2,7.021,-2.8619182756169
16.0,15.9,6.2,7.03575,-2.97824181045646
16.0,15.9,6.2,7.0505,-3.10197025143621
16.0,15.9,6.2,7.06525,-3.23348359502824
16.0,15.9,6.2,7.08,-3.37317077507143
16.0,15.9,6.2,7.09475,-3.5214269948292
16.0,15.9,6.2,7.1095,-3.67865025096252
16.0,15.9,6.2,7.12425,-3.84523686203863
16.0,15.9,6.2,7.139,-4.02157577019491
16.0,15.9,6.2,7.15375,-4.20804133003633
16.0,15.9,6.2,7.1685,-4.40498423170292
16.0,15.9,6.2,7.18325,-4.61272012329523
16.0,15.9,6.2,7.198,-4.83151539998299
16.0,15.9,6.2,7.21275,-5.06156951294583
16.0,15.9,6.2,7.2275,-5.30299302332086
16.0,15.9,6.2,7.24225,-5.5557804921392
16.0,15.9,6.2,7.257,-5.81977717321745
16.0,15.9,6.2,7.27175,-6.09463839307512
16.0,15.9,6.2,7.2865,-6.37978051399249
16.0,15.9,6.2,7.30125,-6.67432257113209
16.0,15.9,6.2,7.316,-6.97701818723903
16.0,15.9,6.2,7.33075,-7.28617839268593
16.0,15.9,6.2,7.3455,-7.59958776870025
16.0,15.9,6.2,7.36025,-7.91441917515551
16.0,15.9,6.2,7.375,-8.22715645706885
16.0,15.9,6.2,7.38975,-8.5335399448205
16.0,15.9,6.2,7.4045,-8.82855571711985
16.0,15.9,6.2,7.41925,-9.10649495284961
16.0,15.9,6.2,7.434,-9.361111410208
16.0,15.9,6.2,7.44875,-9.58589913856231
16.0,15.9,6.2,7.4635,-9.77449508733432
16.0,15.9,6.2,7.47825,-9.92118136247043
16.0,15.9,6.2,7.493,-10.0214248273831
16.0,15.9,6.2,7.50775,-10.0723605723595
16.0,15.9,6.2,7.5225,-10.0731172829512
16.0,15.9,6.2,7.53725,-10.0249077558381
16.0,15.9,6.2,7.552,-9.93086246043755
16.0,15.9,6.2,7.56675,-9.79564767970965
16.0,15.9,6.2,7.5815,-9.6249566505769
16.0,15.9,6.2,7.59625,-9.42497626576369
16.0,15.9,6.2,7.611,-9.20191452782316
16.0,15.9,6.2,7.62575,-8.96163913133809
16.0,15.9,6.2,7.6405,-8.70944171016062
16.0,15.9,6.2,7.65525,-8.44991612441341
16.0,15.9,6.2,7.67,-8.1869256955959
16.0,15.9,6.2,7.68475,-7.92363126992457
16.0,15.9,6.2,7.6995,-7.66255526255779
16.0,15.9,6.2,7.71425,-7.40566269930845
16.0,15.9,6.2,7.729,-7.15444631507557
16.0,15.9,6.2,7.74375,-6.91000781520492
16.0,15.9,6.2,7.7585,-6.67313112016962
16.0,15.9,6.2,7.77325,-6.44434589698604
16.0,15.9,6.2,7.788,-6.22398119933909
16.0,15.9,6.2,7.80275,-6.01220987538576
16.0,15.9,6.2,7.8175,-5.80908479400025
16.0,15.9,6.2,7.83225,-5.61456806144228
16.0,15.9,6.2,7.847,-5.42855437001949
16.0,15.9,6.2,7.86175,-5.25088951430449
16.0,15.9,6.2,7.8765,-5.08138497467943
16.0,15.9,6.2,7.89125,-4.91982932830076
16.0,15.9,6.2,7.906,-4.76599711734015
16.0,15.9,6.2,7.92075,-4.61965568944634
16.0,15.9,6.2,7.9355,-4.48057042738369
16.0,15.9,6.2,7.95025,-4.34850870313991
16.0,15.9,6.2,7.965,-4.22324282477145
16.0,15.9,6.2,7.97975,-4.10455218985391
16.0,15.9,6.2,7.9945,-3.99222481558102
16.0,15.9,6.2,8.00925,-3.88605838044302
16.0,15.9,6.2,8.024,-3.78586088438846
16.0,15.9,6.2,8.03875,-3.69145101206061
16.0,15.9,6.2,8.0535,-3.60265826596457
16.0,15.9,6.2,8.06825,-3.51932292234121
16.0,15.9,6.2,8.083,-3.44129585135282
16.0,15.9,6.2,8.09775,-3.36843823432298
16.0,15.9,6.2,8.1125,-3.30062120374492
16.0,15.9,6.2,8.12725,-3.23772542619394
16.0,15.9,6.2,8.142,-3.17964064385195
16.0,15.9,6.2,8.15675,-3.12626518682988
16.0,15.9,6.2,8.1715,-3.07750546566854
16.0,15.9,6.2,8.18625,-3.03327545115176
16.0,15.9,6.2,8.201,-2.99349614675703
16.0,15.9,6.2,8.21575,-2.95809505759298
16.0,15.9,6.2,8.2305,-2.92700565844926
16.0,15.9,6.2,8.24525,-2.90016686254102
16.0,15.9,6.2,8.26,-2.87752249160635
16.0,15.9,6.2,8.27475,-2.85902074715793
16.0,15.9,6.2,8.2895,-2.84461368184789
16.0,15.9,6.2,8.30425,-2.83425666903272
16.0,15.9,6.2,8.319,-2.82790786766908
16.0,15.9,6.2,8.33375,-2.82552767858605
16.0,15.9,6.2,8.3485,-2.82707818690375
16.0,15.9,6.2,8.36325,-2.83252258384092
16.0,15.9,6.2,8.378,-2.8418245593029
16.0,15.9,6.2,8.39275,-2.85494765437819
16.0,15.9,6.2,8.4075,-2.87185456010019
16.0,15.9,6.2,8.42225,-2.89250634542893
16.0,15.9,6.2,8.437,-2.91686159324206
16.0,15.9,6.2,8.45175,-2.94487541803545
16.0,15.9,6.2,8.4665,-2.97649833284388
16.0,15.9,6.2,8.48125,-3.0116749254142
16.0,15.9,6.2,8.496,-3.05034229470326
16.0,15.9,6.2,8.51075,-3.09242818816909
16.0,15.9,6.2,8.5255,-3.1378487679823
16.0,15.9,6.2,8.54025,-3.18650592026407
16.0,15.9,6.2,8.555,-3.23828400609635
16.0,15.9,6.2,8.56975,-3.29304593717228
16.0,15.9,6.2,8.5845,-3.35062844418945
16.0,15.9,6.2,8.59925,-3.41083639534875
16.0,15.9,6.2,8.614,-3.4734360205052
16.0,15.9,6.2,8.62875,-3.53814691149104
16.0,15.9,6.2,8.6435,-3.60463271303533
16.0,15.9,6.2,8.65825,-3.67249050953904
16.0,15.9,6.2,8.673,-3.74123907624352
16.0,15.9,6.2,8.68775,-3.81030643318457
16.0,15.9,6.2,8.7025,-3.87901755875833
16.0,15.9,6.2,8.71725,-3.94658373157623
16.0,15.9,6.2,8.732,-4.01209580890197
16.0,15.9,6.2,8.74675,-4.07452481399751
16.0,15.9,6.2,8.7615,-4.13273440531465
16.0,15.9,6.2,8.77625,-4.18551089739551
16.0,15.9,6.2,8.791,-4.23161702731867
16.0,15.9,6.2,8.80575,-4.26987486916405
16.0,15.9,6.2,8.8205,-4.29928024858263
16.0,15.9,6.2,8.83525,-4.31914485917396
16.0,15.9,6.2,8.85,-4.32925291122651
16.0,15.9,6.5,2.95,-0.311433670309768
16.0,15.9,6.5,2.96475,-0.31762428557906
16.0,15.9,6.5,2.9795,-0.324228729970941
16.0,15.9,6.5,2.99425,-0.331250569225639
16.0,15.9,6.5,3.009,-0.33869527204385
16.0,15.9,6.5,3.02375,-0.346570247537212
16.0,15.9,6.5,3.0385,-0.354884884220395
16.0,15.9,6.5,3.05325,-0.363650590401371
16.0,15.9,6.5,3.068,-0.372880835742114
16.0,15.9,6.5,3.08275,-0.382591193660482
16.0,15.9,6.5,3.0975,-0.392799384122338
16.0,15.9,6.5,3.11225,-0.403525316227127
16.0,15.9,6.5,3.127,-0.414791129815785
16.0,15.9,6.5,3.14175,-0.426621235122178
16.0,15.9,6.5,3.1565,-0.439042349242175
16.0,15.9,6.5,3.17125,-0.452083527901868
16.0,15.9,6.5,3.186,-0.465776190660945
16.0,15.9,6.5,3.20075,-0.480154137280835
16.0,15.9,6.5,3.2155,-0.495253552511395
16.0,15.9,6.5,3.23025,-0.511112995995188
16.0,15.9,6.5,3.245,-0.527773373345417
16.0,15.9,6.5,3.25975,-0.545277883712372
16.0,15.9,6.5,3.2745,-0.563671938305137
16.0,15.9,6.5,3.28925,-0.583003043371989
16.0,15.9,6.5,3.304,-0.603320640059395
16.0,15.9,6.5,3.31875,-0.624675892363951
16.0,15.9,6.5,3.3335,-0.647121413068328
16.0,15.9,6.5,3.34825,-0.670710916124171
16.0,15.9,6.5,3.363,-0.695498782436449
16.0,15.9,6.5,3.37775,-0.721539524455782
16.0,15.9,6.5,3.3925,-0.748887133459669
16.0,15.9,6.5,3.40725,-0.777594291990227
16.0,15.9,6.5,3.422,-0.807711432739103
16.0,15.9,6.5,3.43675,-0.839285624397673
16.0,15.9,6.5,3.4515,-0.872359264840575
16.0,15.9,6.5,3.46625,-0.906968562762268
16.0,15.9,6.5,3.481,-0.943141790883062
16.0,15.9,6.5,3.49575,-0.980897297496133
16.0,15.9,6.5,3.5105,-1.02024126891808
16.0,15.9,6.5,3.52525,-1.06116524386124
16.0,15.9,6.5,3.54,-1.10364339241796
16.0,15.9,6.5,3.55475,-1.14762958776072
16.0,15.9,6.5,3.5695,-1.19305431824138
16.0,15.9,6.5,3.58425,-1.23982151153595
16.0,15.9,6.5,3.599,-1.28780537069908
16.0,15.9,6.5,3.61375,-1.33684735381922
16.0,15.9,6.5,3.6285,-1.38675346304724
16.0,15.9,6.5,3.64325,-1.43729204285751
16.0,15.9,6.5,3.658,-1.48819231819552
16.0,15.9,6.5,3.67275,-1.53914392627994
16.0,15.9,6.5,3.6875,-1.589797705891
16.0,15.9,6.5,3.70225,-1.639767999007
16.0,15.9,6.5,3.717,-1.68863668571607
16.0,15.9,6.5,3.73175,-1.73595910955562
16.0,15.9,6.5,3.7465,-1.78127195427744
16.0,15.9,6.5,3.76125,-1.82410300569242
16.0,15.9,6.5,3.776,-1.86398257986941
16.0,15.9,6.5,3.79075,-1.9004562333433
16.0,15.9,6.5,3.8055,-1.9330982092848
16.0,15.9,6.5,3.82025,-1.96152493676942
16.0,15.9,6.5,3.835,-1.98540781026122
16.0,15.9,6.5,3.84975,-2.00448445216348
16.0,15.9,6.5,3.8645,-2.01856771466298
16.0,15.9,6.5,3.87925,-2.02755180950105
16.0,15.9,6.5,3.894,-2.03141515504106
16.0,15.9,6.5,3.90875,-2.03021977712529
16.0,15.9,6.5,3.9235,-2.02410736392903
16.0,15.9,6.5,3.93825,-2.01329232290478
16.0,15.9,6.5,3.953,-1.99805239074726
16.0,15.9,6.5,3.96775,-1.97871748406549
16.0,15.9,6.5,3.9825,-1.95565753926799
16.0,15.9,6.5,3.99725,-1.92927007684728
16.0,15.9,6.5,4.012,-1.89996814938455
16.0,15.9,6.5,4.02675,-1.86816921216116
16.0,15.9,6.5,4.0415,-1.83428531066556
16.0,15.9,6.5,4.05625,-1.79871482979748
16.0,15.9,6.5,4.071,-1.76183591081032
16.0,15.9,6.5,4.08575,-1.72400152466371
16.0,15.9,6.5,4.1005,-1.68553610006903
16.0,15.9,6.5,4.11525,-1.64673354228874
16.0,15.9,6.5,4.13,-1.60785644262729
16.0,15.9,6.5,4.14475,-1.56913626443712
16.0,15.9,6.5,4.1595,-1.53077429435593
16.0,15.9,6.5,4.17425,-1.49294316234144
16.0,15.9,6.5,4.189,-1.45578875632402
16.0,15.9,6.5,4.20375,-1.41943238321854
16.0,15.9,6.5,4.2185,-1.38397305478165
16.0,15.9,6.5,4.23325,-1.34948980239255
16.0,15.9,6.5,4.248,-1.31604394802928
16.0,15.9,6.5,4.26275,-1.28368127885982
16.0,15.9,6.5,4.2775,-1.25243408974308
16.0,15.9,6.5,4.29225,-1.22232307161767
16.0,15.9,6.5,4.307,-1.19335903450324
16.0,15.9,6.5,4.32175,-1.16554446200925
16.0,15.9,6.5,4.3365,-1.13887490023058
16.0,15.9,6.5,4.35125,-1.11334018810011
16.0,15.9,6.5,4.366,-1.08892553902485
16.0,15.9,6.5,4.38075,-1.06561248527191
16.0,15.9,6.5,4.3955,-1.04337969736698
16.0,15.9,6.5,4.41025,-1.02220369094283
16.0,15.9,6.5,4.425,-1.0020594332119
16.0,15.9,6.5,4.43975,-0.982920860676288
16.0,15.9,6.5,4.4545,-0.964761318941568
16.0,15.9,6.5,4.46925,-0.947553934649745
16.0,15.9,6.5,4.484,-0.931271928652349
16.0,15.9,6.5,4.49875,-0.915888878650961
16.0,15.9,6.5,4.5135,-0.901378938668192
16.0,15.9,6.5,4.52825,-0.887717021897859
16.0,15.9,6.5,4.543,-0.874878952729411
16.0,15.9,6.5,4.55775,-0.862841593055582
16.0,15.9,6.5,4.5725,-0.851582947354954
16.0,15.9,6.5,4.58725,-0.841082250492639
16.0,15.9,6.5,4.602,-0.831320041699265
16.0,15.9,6.5,4.61675,-0.822278227768039
16.0,15.9,6.5,4.6315,-0.813940138146877
16.0,15.9,6.5,4.64625,-0.80629057429335
16.0,15.9,6.5,4.661,-0.799315855400196
16.0,15.9,6.5,4.67575,-0.793003862383901
16.0,15.9,6.5,4.6905,-0.787344081854695
16.0,15.9,6.5,4.70525,-0.782327651650099
16.0,15.9,6.5,4.72,-0.77794740941271
16.0,15.9,6.5,4.73475,-0.774197945624062
16.0,15.9,6.5,4.7495,-0.7710756624683
16.0,15.9,6.5,4.76425,-0.768578839890923
16.0,15.9,6.5,4.779,-0.766707710238002
16.0,15.9,6.5,4.79375,-0.765464542910445
16.0,15.9,6.5,4.8085,-0.764853740546007
16.0,15.9,6.5,4.82325,-0.76488194835045
16.0,15.9,6.5,4.838,-0.765558178340097
16.0,15.9,6.5,4.85275,-0.766893950433679
16.0,15.9,6.5,4.8675,-0.768903452545191
16.0,15.9,6.5,4.88225,-0.771603722085731
16.0,15.9,6.5,4.897,-0.775014851586573
16.0,15.9,6.5,4.91175,-0.779160221514159
16.0,15.9,6.5,4.9265,-0.784066763768852
16.0,15.9,6.5,4.94125,-0.789765259852194
16.0,15.9,6.5,4.956,-0.796290678263957
16.0,15.9,6.5,4.97075,-0.803682556364228
16.0,15.9,6.5,4.9855,-0.811985432723475
16.0,15.9,6.5,5.00025,-0.821249336904926
16.0,15.9,6.5,5.015,-0.831530344702121
16.0,15.9,6.5,5.02975,-0.842891208118367
16.0,15.9,6.5,5.0445,-0.85540207085771
16.0,15.9,6.5,5.05925,-0.869141281839331
16.0,15.9,6.5,5.074,-0.884196321296948
16.0,15.9,6.5,5.08875,-0.900664856440161
16.0,15.9,6.5,5.1035,-0.918655946504166
16.0,15.9,6.5,5.11825,-0.93829142038222
16.0,15.9,6.5,5.133,-0.959707454019809
16.0,15.9,6.5,5.14775,-0.983056379471988
16.0,15.9,6.5,5.1625,-1.00850876312817
16.0,15.9,6.5,5.17725,-1.03625579726501
16.0,15.9,6.5,5.192,-1.06651205700465
16.0,15.9,6.5,5.20675,-1.09951868418024
16.0,15.9,6.5,5.2215,-1.13554707084146
16.0,15.9,6.5,5.23625,-1.17490312852365
16.0,15.9,6.5,5.251,-1.21793224538146
16.0,15.9,6.5,5.26575,-1.2650250523563
16.0,15.9,6.5,5.2805,-1.31662414230897
16.0,15.9,6.5,5.29525,-1.37323191321879
16.0,15.9,6.5,5.31,-1.43541973897446
16.0,15.9,6.5,5.32475,-1.50383870996199
16.0,15.9,6.5,5.3395,-1.5792322317756
16.0,15.9,6.5,5.35425,-1.6624508253485
16.0,15.9,6.5,5.369,-1.75446953730723
16.0,15.9,6.5,5.38375,-1.856408447445
16.0,15.9,6.5,5.3985,-1.96955685343227
16.0,15.9,6.5,5.41325,-2.09540182450603
16.0,15.9,6.5,5.428,-2.23566195026784
16.0,15.9,6.5,5.44275,-2.39232727395549
16.0,15.9,6.5,5.4575,-2.56770660041713
16.0,15.9,6.5,5.47225,-2.76448362051101
16.0,15.9,6.5,5.487,-2.98578361512294
16.0,15.9,6.5,5.50175,-3.23525292164816
16.0,15.9,6.5,5.5165,-3.51715390242188
16.0,15.9,6.5,5.53125,-3.83647889447945
16.0,15.9,6.5,5.546,-4.1990875777335
16.0,15.9,6.5,5.56075,-4.61187333133112
16.0,15.9,6.5,5.5755,-5.08296514380681
16.0,15.9,6.5,5.59025,-5.62197139359801
16.0,15.9,6.5,5.605,-6.24026699072473
16.0,15.9,6.5,5.61975,-6.95130652223637
16.0,15.9,6.5,5.6345,-7.7708867986597
16.0,15.9,6.5,5.64925,-8.71710844342242
16.0,15.9,6.5,5.664,-9.80928690502312
16.0,15.9,6.5,5.67875,-11.0636385415019
16.0,15.9,6.5,5.6935,-12.4796240480866
16.0,15.9,6.5,5.70825,-14.001442521484
16.0,15.9,6.5,5.723,-15.4299289826768
16.0,15.9,6.5,5.73775,-16.3290985564508
16.0,15.9,6.5,5.7525,-16.2438815574973
16.0,15.9,6.5,5.76725,-15.2554143014914
16.0,15.9,6.5,5.782,-13.8635367049904
16.0,15.9,6.5,5.79675,-12.44358818264
16.0,15.9,6.5,5.8115,-11.1463839835938
16.0,15.9,6.5,5.82625,-10.0069643846388
16.0,15.9,6.5,5.841,-9.01877325961801
16.0,15.9,6.5,5.85575,-8.16374327573465
16.0,15.9,6.5,5.8705,-7.42261796527116
16.0,15.9,6.5,5.88525,-6.77805646773572
16.0,15.9,6.5,5.9,-6.21527860119692
16.0,15.9,6.5,5.91475,-5.72192786002202
16.0,15.9,6.5,5.9295,-5.28772993401704
16.0,15.9,6.5,5.94425,-4.90413819981126
16.0,15.9,6.5,5.959,-4.56402250794363
16.0,15.9,6.5,5.97375,-4.26141130458935
16.0,15.9,6.5,5.9885,-3.99128248663365
16.0,15.9,6.5,6.00325,-3.74939488167357
16.0,15.9,6.5,6.018,-3.53215243753041
16.0,15.9,6.5,6.03275,-3.33649442467968
16.0,15.9,6.5,6.0475,-3.15980627800693
16.0,15.9,6.5,6.06225,-2.99984685257238
16.0,15.9,6.5,6.077,-2.85468879053933
16.0,15.9,6.5,6.09175,-2.72266941511328
16.0,15.9,6.5,6.1065,-2.60235012127589
16.0,15.9,6.5,6.12125,-2.49248265953638
16.0,15.9,6.5,6.136,-2.39198103835828
16.0,15.9,6.5,6.15075,-2.2998980268588
16.0,15.9,6.5,6.1655,-2.21540543950989
16.0,15.9,6.5,6.18025,-2.13777754208601
16.0,15.9,6.5,6.195,-2.06637704285385
16.0,15.9,6.5,6.20975,-2.00064323236998
16.0,15.9,6.5,6.2245,-1.94008191482521
16.0,15.9,6.5,6.23925,-1.88425683789764
16.0,15.9,6.5,6.254,-1.83278237981485
16.0,15.9,6.5,6.26875,-1.78531729430189
16.0,15.9,6.5,6.2835,-1.74155934827385
16.0,15.9,6.5,6.29825,-1.70124071506242
16.0,15.9,6.5,6.313,-1.66412400886105
16.0,15.9,6.5,6.32775,-1.62999886489956
16.0,15.9,6.5,6.3425,-1.5986789853833
16.0,15.9,6.5,6.35725,-1.56999958407085
16.0,15.9,6.5,6.372,-1.54381517300988
16.0,15.9,6.5,6.38675,-1.51999764380256
16.0,15.9,6.5,6.4015,-1.49843460315053
16.0,15.9,6.5,6.41625,-1.47902792859579
16.0,15.9,6.5,6.431,-1.46169251554072
16.0,15.9,6.5,6.44575,-1.44635519096963
16.0,15.9,6.5,6.4605,-1.43295377294786
16.0,15.9,6.5,6.47525,-1.42143625805791
16.0,15.9,6.5,6.49,-1.41176012154068
16.0,15.9,6.5,6.50475,-1.40389171712136
16.0,15.9,6.5,6.5195,-1.39780576537881
16.0,15.9,6.5,6.53425,-1.39348492111766
16.0,15.9,6.5,6.549,-1.39091941156716
16.0,15.9,6.5,6.56375,-1.39010673839749
16.0,15.9,6.5,6.5785,-1.39105143754203
16.0,15.9,6.5,6.59325,-1.39376489166872
16.0,15.9,6.5,6.608,-1.39826519087521
16.0,15.9,6.5,6.62275,-1.40457703780839
16.0,15.9,6.5,6.6375,-1.41273169394288
16.0,15.9,6.5,6.65225,-1.42276696420681
16.0,15.9,6.5,6.667,-1.43472721752529
16.0,15.9,6.5,6.68175,-1.44866344117057
16.0,15.9,6.5,6.6965,-1.46463332706719
16.0,15.9,6.5,6.71125,-1.48270138840589
16.0,15.9,6.5,6.726,-1.50293910507291
16.0,15.9,6.5,6.74075,-1.52542509650345
16.0,15.9,6.5,6.7555,-1.55024532061974
16.0,15.9,6.5,6.77025,-1.57749329751282
16.0,15.9,6.5,6.785,-1.60727035647167
16.0,15.9,6.5,6.79975,-1.63968590484843
16.0,15.9,6.5,6.8145,-1.6748577170689
16.0,15.9,6.5,6.82925,-1.71291224184706
16.0,15.9,6.5,6.844,-1.75398492533002
16.0,15.9,6.5,6.85875,-1.79822054747647
16.0,15.9,6.5,6.8735,-1.84577356844244
16.0,15.9,6.5,6.88825,-1.89680848109703
16.0,15.9,6.5,6.903,-1.95150016499766
