B [mm],L [mm],R1 [mm],Freq [GHz],"dB(S(1,1)) []"
16.0,15.5,5.6,4.52825,-0.871823111476714
16.0,15.5,5.6,4.543,-0.857058556658147
16.0,15.5,5.6,4.55775,-0.843098542380352
16.0,15.5,5.6,4.5725,-0.829920726270077
16.0,15.5,5.6,4.58725,-0.817503831591749
16.0,15.5,5.6,4.602,-0.805827729071919
16.0,15.5,5.6,4.61675,-0.794873503514039
16.0,15.5,5.6,4.6315,-0.784623508340871
16.0,15.5,5.6,4.64625,-0.775061410807423
16.0,15.5,5.6,4.661,-0.766172230288138
16.0,15.5,5.6,4.67575,-0.757942371754127
16.0,15.5,5.6,4.6905,-0.75035965631423
16.0,15.5,5.6,4.70525,-0.743413350494079
16.0,15.5,5.6,4.72,-0.737094195765953
16.0,15.5,5.6,4.73475,-0.73139443971588
16.0,15.5,5.6,4.7495,-0.726307870140454
16.0,15.5,5.6,4.76425,-0.721829853301613
16.0,15.5,5.6,4.779,-0.71795737753185
16.0,15.5,5.6,4.79375,-0.714689103373605
16.0,15.5,5.6,4.8085,-0.712025421454066
16.0,15.5,5.6,4.82325,-0.709968519340698
16.0,15.5,5.6,4.838,-0.70852245869368
16.0,15.5,5.6,4.85275,-0.707693264130232
16.0,15.5,5.6,4.8675,-0.707489025344533
16.0,15.5,5.6,4.88225,-0.707920014188167
16.0,15.5,5.6,4.897,-0.70899881861274
16.0,15.5,5.6,4.91175,-0.710740495613574
16.0,15.5,5.6,4.9265,-0.713162745595827
16.0,15.5,5.6,4.94125,-0.716286110919291
16.0,15.5,5.6,4.956,-0.72013420177343
16.0,15.5,5.6,4.97075,-0.724733952999699
16.0,15.5,5.6,4.9855,-0.730115916026401
16.0,15.5,5.6,5.00025,-0.73631459072622
16.0,15.5,5.6,5.015,-0.743368802766389
16.0,15.5,5.6,5.02975,-0.751322132917192
16.0,15.5,5.6,5.0445,-0.76022340584217
16.0,15.5,5.6,5.05925,-0.770127247144472
16.0,15.5,5.6,5.074,-0.781094718926314
16.0,15.5,5.6,5.08875,-0.793194045879072
16.0,15.5,5.6,5.1035,-0.806501446016499
16.0,15.5,5.6,5.11825,-0.821102082662605
16.0,15.5,5.6,5.133,-0.837091157293107
16.0,15.5,5.6,5.14775,-0.854575166409395
16.0,15.5,5.6,5.1625,-0.873673349924711
16.0,15.5,5.6,5.17725,-0.894519363721054
16.0,15.5,5.6,5.192,-0.917263215287462
16.0,15.5,5.6,5.20675,-0.942073508916898
16.0,15.5,5.6,5.2215,-0.969140056119376
16.0,15.5,5.6,5.23625,-0.998676918075637
16.0,15.5,5.6,5.251,-1.03092596057242
